subj,session,trial,rt,object_response,category,condition,imagename
cornet_s,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png
cornet_s,1,2,NaN,boat,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png
cornet_s,1,3,NaN,boat,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png
cornet_s,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png
cornet_s,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png
cornet_s,1,6,NaN,elephant,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png
cornet_s,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png
cornet_s,1,8,NaN,cat,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png
cornet_s,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png
cornet_s,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png
cornet_s,1,11,NaN,boat,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png
cornet_s,1,12,NaN,bear,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png
cornet_s,1,13,NaN,cat,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png
cornet_s,1,14,NaN,bear,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png
cornet_s,1,15,NaN,elephant,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png
cornet_s,1,16,NaN,boat,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png
cornet_s,1,17,NaN,cat,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png
cornet_s,1,18,NaN,cat,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png
cornet_s,1,19,NaN,oven,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png
cornet_s,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png
cornet_s,1,21,NaN,chair,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png
cornet_s,1,22,NaN,bottle,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png
cornet_s,1,23,NaN,bottle,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png
cornet_s,1,24,NaN,bottle,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png
cornet_s,1,25,NaN,bottle,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png
cornet_s,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png
cornet_s,1,27,NaN,keyboard,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png
cornet_s,1,28,NaN,airplane,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png
cornet_s,1,29,NaN,elephant,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png
cornet_s,1,30,NaN,knife,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png
cornet_s,1,31,NaN,boat,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png
cornet_s,1,32,NaN,bicycle,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png
cornet_s,1,33,NaN,cat,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png
