subj,session,trial,rt,object_response,category,condition,imagename
cornet_s,1,1,NaN,truck,truck,30,0001_ps_dnn_30_truck_10_n03417042_14861.png
cornet_s,1,2,NaN,keyboard,keyboard,0,0002_ps_dnn_0_keyboard_10_n03085013_25476.png
cornet_s,1,3,NaN,elephant,elephant,0,0003_ps_dnn_0_elephant_10_n02504013_3087.png
cornet_s,1,4,NaN,cat,cat,30,0004_ps_dnn_30_cat_10_n02123394_4633.png
cornet_s,1,5,NaN,knife,knife,120,0005_ps_dnn_120_knife_10_n03041632_48151.png
cornet_s,1,6,NaN,bicycle,bicycle,60,0006_ps_dnn_60_bicycle_10_n02835271_1075.png
cornet_s,1,7,NaN,cat,bear,180,0007_ps_dnn_180_bear_10_n02134084_10289.png
cornet_s,1,8,NaN,keyboard,keyboard,0,0008_ps_dnn_0_keyboard_10_n03085013_21967.png
cornet_s,1,9,NaN,knife,oven,150,0009_ps_dnn_150_oven_10_n04111531_5737.png
cornet_s,1,10,NaN,elephant,elephant,60,0010_ps_dnn_60_elephant_10_n02504458_8141.png
cornet_s,1,11,NaN,elephant,elephant,90,0011_ps_dnn_90_elephant_10_n02504458_3153.png
cornet_s,1,12,NaN,bicycle,bear,60,0012_ps_dnn_60_bear_10_n02134418_5807.png
cornet_s,1,13,NaN,boat,boat,0,0013_ps_dnn_0_boat_10_n04273569_15322.png
cornet_s,1,14,NaN,oven,knife,0,0014_ps_dnn_0_knife_10_n03041632_42526.png
cornet_s,1,15,NaN,bicycle,bicycle,30,0015_ps_dnn_30_bicycle_10_n02835271_5886.png
cornet_s,1,16,NaN,knife,dog,180,0016_ps_dnn_180_dog_10_n02110063_869.png
cornet_s,1,17,NaN,knife,bicycle,180,0017_ps_dnn_180_bicycle_10_n03792782_3334.png
cornet_s,1,18,NaN,airplane,airplane,0,0018_ps_dnn_0_airplane_10_n02690373_7355.png
cornet_s,1,19,NaN,cat,bird,120,0019_ps_dnn_120_bird_10_n01798484_2289.png
cornet_s,1,20,NaN,knife,knife,60,0020_ps_dnn_60_knife_10_n03041632_87380.png
cornet_s,1,21,NaN,bird,bird,0,0021_ps_dnn_0_bird_10_n02027492_15639.png
cornet_s,1,22,NaN,bird,bird,0,0022_ps_dnn_0_bird_10_n02006656_7153.png
